Designation,H Mag,Mean Mag (r Band),Number of Observations,Arc (days),LS peak / Adopted Fourier (hr),Period display,LS peak period (hr),Adopted period (hr),Adopted K,2P candidate (hr),ΔBIC(2P−P),Amplitude (Fourier),g - r,g - i,r - i,Axial Elongation,Reliability,Bootstrap top_frac,Bootstrap n_unique_winners,Bootstrap family_size,Ambiguous candidates (P_hr:frac),pipeline_version,run_id_utc,outdir,final_row_path
2014 WJ224,18.190346794761204,22.97762857142857,104,12.028889502314817,0.11 / 6.71,LS_peak=0.11 h; Adopted=6.71 h,0.1145324465382814,6.713798791989664,2,13.427597583979328,5.871773070237339,0.2451920063287151,0.4714424263677159,0.4815546168993272,0.0101121905316112,1.2533628054921102,insufficient,0.335,8,8,0.229:0.335; 6.714:0.328; 13.428:0.128; 5.032:0.092; 0.825:0.070,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WJ224,C:\Users\vikas\Downloads\ls_outputs\2014_WJ224\step14_final_summary.csv
2014 WN510,6.307342161296532,22.31310576923077,242,12.046266296296295,36.14 / 10.19,LS_peak=36.14 h; Adopted=10.19 h,36.13879888888889,10.188912462065591,4,20.377824924131183,64.18238247382874,0.7814728404892405,0.6852609156025773,0.9326086059459132,0.2473476903433358,2.0539465427365133,insufficient,0.28,8,8,72.278:0.280; 36.139:0.240; 10.189:0.233; 14.321:0.117; 6.685:0.070,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WN510,C:\Users\vikas\Downloads\ls_outputs\2014_WN510\step14_final_summary.csv
2014 WO238,18.142627105849463,22.403222222222222,63,2.110458599537037,25.33 / 5.07,LS_peak=25.33 h; Adopted=5.07 h,25.325503194444444,5.065100638888889,2,10.130201277777775,7.876090410883279,0.3340901367931222,0.4911534229961631,0.6818700427474376,0.1907166197512744,1.3603042493406516,insufficient,0.2975,5,8,0.505:0.297; 5.065:0.285; 10.130:0.273; 6.186:0.113; 1.589:0.033,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WO238,C:\Users\vikas\Downloads\ls_outputs\2014_WO238\step14_final_summary.csv
2014 WP570,18.30173678035483,23.60743103448276,116,12.017027905092592,3.20 / 8.76,LS_peak=3.20 h; Adopted=8.76 h,3.204540774691358,8.75624044697449,2,17.51248089394898,16.922789195693383,0.4078621792458933,0.4991668766262407,0.6338572857562461,0.1346904091300054,1.4559446727550351,insufficient,0.36,8,8,8.756:0.360; 6.908:0.195; 19.471:0.190; 13.816:0.098; 1.684:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WP570,C:\Users\vikas\Downloads\ls_outputs\2014_WP570\step14_final_summary.csv
2014 WQ581,18.18442160642017,22.66521761658031,397,9.029279895833334,0.30 / 0.30,LS_peak=0.30 h; Adopted=0.30 h,0.2994165354058722,0.2994165354058722,2,0.5988330708117444,0.6331331629234,0.0497325582813567,0.5688592697462873,0.7501666854136388,0.1813074156673515,1.0468706480478618,insufficient,0.415,8,8,0.299:0.415; 0.171:0.163; 0.599:0.138; 1.422:0.107; 0.711:0.075,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WQ581,C:\Users\vikas\Downloads\ls_outputs\2014_WQ581\step14_final_summary.csv
2014 WR309,18.438520030952827,23.68425641025641,159,9.03377980324074,42.30 / 84.61,LS_peak=42.30 h; Adopted=84.61 h,42.304529810298106,84.60905962059621,2,,,0.3215010800299204,0.3690766224071069,0.6305841612001579,0.261507538793051,1.344622679089593,insufficient,0.3175,8,8,0.293:0.318; 84.609:0.280; 42.305:0.122; 30.430:0.085; 13.657:0.085,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WR309,C:\Users\vikas\Downloads\ls_outputs\2014_WR309\step14_final_summary.csv
2014 WS258,17.966498276327066,22.36746859903381,462,12.048317604166666,9.11 / 14.73,LS_peak=9.11 h; Adopted=14.73 h,9.10738968503937,14.73424828025478,2,29.46849656050956,10.493550255514265,0.0846737069307538,0.5054156355436668,0.6430162205496046,0.1376005850059378,1.0811090000028842,ambiguous,0.435,8,8,14.734:0.435; 18.215:0.170; 5.164:0.170; 4.168:0.087; 3.448:0.048,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WS258,C:\Users\vikas\Downloads\ls_outputs\2014_WS258\step14_final_summary.csv
2014 YV93,17.94639596879811,21.82407692307692,77,12.043837997685186,0.41 / 0.41,LS_peak=0.41 h; Adopted=0.41 h,0.4074743428291728,0.4074743428291728,3,0.8149486856583457,17.29958829394019,0.1611296639596711,0.4999330005626667,0.5914552575935765,0.0915222570309097,1.1599836438726383,reliable,0.605,7,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_YV93,C:\Users\vikas\Downloads\ls_outputs\2014_YV93\step14_final_summary.csv
2015 AD307,17.940612360731514,22.447620111731844,389,12.0413425,2.45 / 5.46,LS_peak=2.45 h; Adopted=5.46 h,2.4490866101694917,5.459121038961038,2,10.918242077922075,20.240127695156275,0.0943667314297535,0.5379528989788085,0.7770218033386094,0.2390689043598008,1.0908039264906626,reliable,0.5875,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_AD307,C:\Users\vikas\Downloads\ls_outputs\2015_AD307\step14_final_summary.csv
2015 AM63,17.791166619940334,22.481986111111112,289,9.034739201388888,18.65 / 15.91,LS_peak=18.65 h; Adopted=15.91 h,18.652364802867385,15.914402996941895,3,,,0.4463431323129114,0.4735896210929837,0.5646446427422696,0.0910550216492858,1.5084719987476638,reliable,0.435,7,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_AM63,C:\Users\vikas\Downloads\ls_outputs\2015_AM63\step14_final_summary.csv
2015 AV70,18.35989221491448,23.312120567375885,261,6.01164130787037,1.57 / 1.57,LS_peak=1.57 h; Adopted=1.57 h,1.5725274265818951,1.5725274265818951,2,3.1450548531637903,3.192822627450141,0.1348887238961141,0.4647169884503661,0.5732950861846291,0.1085780977342629,1.132284310512207,insufficient,0.265,8,8,1.573:0.265; 0.305:0.233; 9.908:0.200; 3.145:0.105; 0.926:0.077,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_AV70,C:\Users\vikas\Downloads\ls_outputs\2015_AV70\step14_final_summary.csv
2015 BE215,17.803255715238414,22.24947959183673,412,12.041314907407408,2.60 / 5.21,LS_peak=2.60 h; Adopted=5.21 h,2.603527547547547,5.207055095095094,4,10.414110190190188,164.8686516487976,0.6548722695609839,0.6510958999278778,0.8968803852772673,0.2457844853493895,1.827885163621233,reliable,0.77,3,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_BE215,C:\Users\vikas\Downloads\ls_outputs\2015_BE215\step14_final_summary.csv
2015 BF174,17.3913459876811,22.19292,97,11.020691203703704,49.21 / 16.15,LS_peak=49.21 h; Adopted=16.15 h,49.2086677002584,16.152463443596268,3,,,0.5308662661793777,0.6077939596264983,0.7169591664293655,0.1091652068028672,1.6305965025372209,insufficient,0.34,8,8,16.152:0.340; 3.112:0.242; 9.618:0.165; 19.236:0.138; 6.848:0.045,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_BF174,C:\Users\vikas\Downloads\ls_outputs\2015_BF174\step14_final_summary.csv
2015 BV225,18.155490391520694,23.304169230769237,127,2.126335798611111,15.70 / 15.70,LS_peak=15.70 h; Adopted=15.70 h,15.702172051282052,15.702172051282052,2,,,0.3301896481035332,0.5599713598105076,0.7614018438407726,0.2014304840302649,1.3554261471567413,ambiguous,0.5225,5,8,15.702:0.522; 0.313:0.273; 10.604:0.122; 0.340:0.050; 0.202:0.033,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_BV225,C:\Users\vikas\Downloads\ls_outputs\2015_BV225\step14_final_summary.csv
2015 FF274,17.458057231614582,22.04989361702128,419,12.047805902777778,6.09 / 8.14,LS_peak=6.09 h; Adopted=8.14 h,6.087312456140351,8.144995539906105,4,16.28999107981221,230.28136541745323,0.5699293976829682,0.6179364691620819,0.8382781022304364,0.2203416330683545,1.690331010683019,reliable,0.8225,5,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_FF274,C:\Users\vikas\Downloads\ls_outputs\2015_FF274\step14_final_summary.csv
2015 HJ286,19.77477045464586,22.069843537414968,299,6.009215798611111,72.11 / 72.11,LS_peak=72.11 h; Adopted=72.11 h,72.11058958333334,72.11058958333334,3,,,0.5438182248678007,0.4406137144305795,0.5939384732216197,0.1533247587910402,1.650164690163085,insufficient,0.305,8,8,28.141:0.305; 17.350:0.233; 72.111:0.180; 8.807:0.120; 14.070:0.052,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2015_HJ286,C:\Users\vikas\Downloads\ls_outputs\2015_HJ286\step14_final_summary.csv
